URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=51812&version=1;2012;12-163;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Data Transmission Management;DDIL;Domains.Aviation, Clients.Communication
https://portal.opengeospatial.org/files/?artifact_id=51815&version=1;2012;12-027r2;http://www.opengeospatial.net/doc/TE/dp;OGC Web Services, Phase 9 (OWS-9);Temporality Extension ;WFS;Domains.Aviation,Services.WFS
https://portal.opengeospatial.org/files/?artifact_id=51807&version=1;2012;12-094;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Aviation: AIRM Derivation;GML;Domains.Aviation, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=52126&version=1;2012;12-145;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Aviation Metadata & Provenance Engineering Report;;Domains.Aviation
https://portal.opengeospatial.org/files/?artifact_id=53255&version=1;2013;12-144;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Architecture - Registry Engineering Report;catalog, CSW;Domains.Aviation
https://portal.opengeospatial.org/files/?artifact_id=51888&version=1;2013;12-104;http://www.opengeospatial.net/doc/spegg;OGC Web Services, Phase 9 (OWS-9);OWS-9 Engineering Report - CCI - Single Point of Entry Global Gazetteer;WFS;Services.WFS
https://portal.opengeospatial.org/files/?artifact_id=51840&version=1;2012;12-103r3;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 CCI Semantic Mediation Engineering Report;SPARQL, OWL, WPS;Semantic.Mappings
https://portal.opengeospatial.org/files/?artifact_id=51818&version=1;2012;12-159;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 CCI Conflation with Provenance Engineering Report;WPS;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=52018&version=1;2013;12-105;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 - OWS Context evaluation IP Engineering Report;JSON;DataModels.Context
https://portal.opengeospatial.org/files/?artifact_id=51842&version=1;2013;12-156;http://www.opengeospatial.net/doc/OWS-9-ER-RAP;OGC Web Services, Phase 9 (OWS-9);OWS-9 Reference Architecture Profile (RAP) Advisor Engineering Report;;IP
https://portal.opengeospatial.org/files/?artifact_id=51806&version=1;2013;12-118;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Security ER;;Architecture.Security
https://portal.opengeospatial.org/files/?artifact_id=51784&version=1;2012;12-093;http://www.opengeospatial.net/doc/ows9ugas;OGC Web Services, Phase 9 (OWS-9);OWS-9 SSI UGAS Engineering Report;JSON, SWE;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=51833&version=1;2012;12-139;na;OGC Web Services, Phase 9 (OWS-9);OWS‐9 SSI Security Rules Service Engineering Report;;Architecture.Security
https://portal.opengeospatial.org/files/?artifact_id=51998&version=2;2013;12-097;http://www.opengis.net/def/doc-type/per/OWS-9-bulk-data-transfer-gml;OGC Web Services, Phase 9 (OWS-9);OWS-9 Engineering Report - SSI - Bulk Data Transfer (GML Streaming);;Architecture.BigData
https://portal.opengeospatial.org/files/?artifact_id=51178&version=1;2012;12-133;na;OGC Web Services, Phase 9 (OWS-9);OGC Web Services Facade for OGC IP Engineering Report ;;Services.Other
https://portal.opengeospatial.org/files/?artifact_id=51891&version=1;2013;12-155;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 OWS Innovations WCS for LIDAR Engineering Report;;Services.WCS, DataModels.LiDAR
https://portal.opengeospatial.org/files/?artifact_id=51889&version=1;2012;12-154;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 OWS Innovations GMLJP2 for NITF Engineering Report;coverage;DataModels.Other
https://portal.opengeospatial.org/files/?artifact_id=51863&version=1;2012;12-119;http://www.opengeospatial.net/doc/OWS9-OGCMobileApps;OGC Web Services, Phase 9 (OWS-9);OWS-9 OWS Innovations Mobile Apps Engineering Report;;Clients.HCI
https://portal.opengeospatial.org/files/?artifact_id=52162&version=1;2012;12-096;http://www.opengeospatial.net/doc/OWS9-GPS-SWE;OGC Web Services, Phase 9 (OWS-9);OWS-9  Engineering Report: Use of SWE Common and SensorML for GPS Messaging;;Architecture.SensorWeb
https://portal.opengeospatial.org/files/?artifact_id=52054&version=1;2013;12-157;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Engineering Report - OWS Innovations - Map Tiling Methods Harmonization;tiles, WMTS;Services.WMTS, Architecture.REST
https://portal.opengeospatial.org/files/?artifact_id=52783&version=1;2012;12-095;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Innovation - Coverages: Coverage Access (OPeNDAP) Study;WCS;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=51906&version=1;2013;12-160;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Data Quality for Web Mapping ER;WMS;Services.WMS
https://portal.opengeospatial.org/files/?artifact_id=51844&version=1;2013;12-152;http://www.opengeospatial.net/doc/ows9/cite-guide;OGC Web Services, Phase 9 (OWS-9);OWS-9 CITE Help Guide Engineering Report;GML;Compliance.CITE
https://portal.opengeospatial.org/files/?artifact_id=51911&version=1;2012;12-162r1;http.//www.opengeospatial.net/doc/ows9_wcs_conformance_testing_ER;OGC Web Services, Phase 9 (OWS-9);WCS Conformance Testing;coverage;Compliance.WCS
;;;;;;;
